Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара,Розшифровка коду витрат
Сила і Честь,211,1212,2019-07-05,58,"ТОВ ""НТРК ""Ірта""","Луганська обл., м. Сєвєродонецьк, просп. Гвардійський, буд. 13, прим. 410",31530558,"+;1212;оплата ефірного часу на радіо, зг-но рах. №4-27/06/19 від 27.06.2019, в т.ч. ПДВ-972,00 грн.",5832,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1211,2019-07-05,138,"Івано-Франківське обласне телебачення ""Галичина""","м. Івано-Франківськ, вул. Михайла Грушевського, буд. 21, оф. 701",13641427,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №231 від 01.07.2019, в т.ч. ПДВ-1066,67 грн.",6400,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1212,2019-07-05,52,"ТОВ ""Телерадіокомпанія ""Ностальгія""","м. Київ, вул. Щорса, буд. 32А, кв. 94",30632797,"+;1212;оплата ефірного часу на радіо, зг-но рах. №РН12 від 01.07.2019, в т.ч. ПДВ-1157,76 грн.","6946,56",юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1211,2019-07-05,117,"ТОВ ""Телерадіокомпанія ""РАІ""","м. Івано-Франківськ, вул. Василіянок, буд. 15",36983355,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №149 від 27.06.2019, без ПДВ.",7200,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,103,"ПАТ ""НСТУ""","м. Київ, вул. Мельникова, буд. 42",23152907,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №НТК000000021 від 03.07.2019, в т.ч. ПДВ-1501,50 грн.",9009,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,144,"ТОВ ""ТРК ""Алекс ТВ""","м. Запоріжжя, просп. Моторобудівників, буд. 48",23286602,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №СФ-0000204 від 01.07.2019, в т.ч. ПДВ-1530,00 грн.",9180,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,109,"ПАТ ""НСТУ""","м. Київ, вул. Мельникова, буд. 42",23152907,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №НТК000000031 від 05.07.2019, в т.ч. ПДВ-1685,00 грн.",10110,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,101,"ТОВ ""ТРК ""ТВ-7""","м. Маріуполь, Приморський бульв., буд. 25",25106350,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №169 від 03.07.2019, в т.ч. ПДВ-1705,80 грн.","10234,8",юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,85,"ПАТ ""Телерадіокомпанія ""Право А/ТВК""","м. Харків, вул. Ярослава Мудрого, буд. 3",22722874,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №67 від 05.07.2019, без ПДВ.",12000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1212,2019-07-05,72,"ПрАТ ""Телерадіокомпанія ""Люкс""","м. Київ, вул. Володимирська, буд. 61/11, оф. 50",23158131,"+;1212;оплата ефірного часу на радіо, зг-но рах. №КЛ42 від 01.07.2019, в т.ч. ПДВ-2047,68 грн.","12286,08",юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1211,2019-07-05,133,"ТОВ ""Івано-Франківська телерадіокомпанія ""Канал-402""","м. Івано-Франківськ, вул. Чорновола, буд. 99",13642036,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №057 від 01.07.2019, в т.ч. ПДВ-2100,00 грн.",12600,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,142,"ТОВ ""ТРК ""Херсон плюс""","м. Херсон, вул. Торгова, буд. 37",36944934,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №000203-к від 02.07.2019, без ПДВ.",12600,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1212,2019-07-05,83,"ТОВ ""Телерадіокомпанія ""Радіо-Ера""","м. Київ, вул. Кирилівська, буд. 86",30019068,"+;1212;оплата ефірного часу на радіо, зг-но рах. №182 від 04.07.2019, без ПДВ.","13078,8",юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1211,2019-07-05,110,"ТОВ ""Телерадіокомпанія ""Моя Одеса""","м. Одеса, вул. Канатна, буд. 10",31068509,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №77 від 05.07.2019, в т.ч. ПДВ-2400,00 грн.",14400,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,105,"ТОВ ""ТРК ""ІРТ-Полтава""","м. Полтава, вул. Конституції, буд. 4",35026331,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №ІР-2866/2 від 02.07.2019, в т.ч. ПДВ-2520,00 грн.",15120,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1212,2019-07-05,48,"ПП ""Фірма ""Лямін""","м. Київ, вул. Палівська, буд. 29, кімн. 30",19488636,"+;1212;оплата ефірного часу на радіо, зг-но рах. №СФ-0000316 від 01.07.2019, в т.ч. ПДВ-2730,00 грн.",16380,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1211,2019-07-05,116,"ТОВ ""Телерадіокомпанія ""РАІ""","м. Івано-Франківськ, вул. Василіянок, буд. 15",36983355,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №148 від 01.07.2019, без ПДВ.",17220,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,132,"ТОВ ""Івано-Франківська телерадіокомпанія ""Канал-402""","м. Івано-Франківськ, вул. Чорновола, буд. 99",13642036,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №056 від 01.07.2019, в т.ч. ПДВ-2880,00 грн.",17280,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,139,"Івано-Франківське обласне телебачення ""Галичина""","м. Івано-Франківськ, вул. Михайла Грушевського, буд. 21, оф. 701",13641427,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №230 від 01.07.2019, в т.ч. ПДВ-2940,00 грн.",17640,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,146,"ТОВ ""Медіагруп Алекс.ЮА""","м. Запоріжжя, просп. Моторобудівників, буд. 48",24451003,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №СФ-0000131 від 01.07.2019, в т.ч. ПДВ-3060,00 грн.",18360,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,89,"КП ""ТРК ""Рудана"" КМР","м. Кривий Ріг, просп. Гагаріна, буд. 68",19438354,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №183 від 03.07.2019, в т.ч. ПДВ-3106,25 грн.","18637,5",юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,126,"ТОВ ""ТРК ""Вікка""","м. Черкаси, вул. Юрія Іллєнка, буд. 27",21385292,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №СФ-000721 від 05.07.2019, в т.ч. ПДВ-3150,00 грн.",18900,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,149,"КП ""Муніципальна телевізійна мережа""","м. Запоріжжя, вул. Приходська, буд. 60",24905384,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №СФ-0000109 від 01.07.2019, в т.ч. ПДВ-3150,00 грн.",18900,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,93,"ТОВ ""ТРК ""TTV""","м. Кропивницький, вул. Медведєва, буд. 1А",13745760,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №63 від 04.07.2019, в т.ч. ПДВ-3150,00 грн.",18900,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,130,"ПМП ""ТРК ""Даніо""","м. Ужгород, вул. Крилова, буд. 10",20430464,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №40 від 04.07.2019. в т.ч. ПДВ-3402,00 грн.",20412,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,131,"ТОВ ""ТРК ""Союз-ТВ""","м. Житомир, просп. Миру, буд. 11, кв. 158",25304801,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №5/1 від 05.07.2019, в т.ч. ПДВ-3775,00 грн.",22650,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,128,"ТОВ ""ТРК ""Академія TV""","м. Суми, вул. Харківська, буд. 4",32185841,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №227 выд 05.07.2019, в т.ч. ПДВ-3780,00 грн.",22680,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,124,"ТОВ ""ЗНТРК ""ТВ-5""","м. Запоріжжя, вул. О. Пивоварова, буд. 4А",13630346,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №0243 від 01.07.2019, в т.ч. ПДВ-3800,00 грн.",22800,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,118,"ТОВ ""Телерадіокомпанія ""РАІ""","м. Івано-Франківськ, вул. Василіянок, буд. 15",36983355,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №180 від 05.07.2019, без ПДВ.",24000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1212,2019-07-05,51,"ПрАТ ""Телерадіокомпанія ""Люкс""","м. Львів, пл. Галицька, буд. 15",20765851,"+;1212;оплата ефірного часу на радіо, зг-но рах. №ЛВ502 від 01.07.2019, в т.ч. ПДВ-4136,40 грн.","24818,4",юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1211,2019-07-05,136,"Івано-Франківське обласне телебачення ""Галичина""","м. Івано-Франківськ, вул. Михайла Грушевського, буд. 21, оф. 701",13641427,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №232 від 01.07.2019, в т.ч. ПДВ-4166,67 грн.",25000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,90,"ТОВ ""Коледж преси та телебачення""","м. Миколаїв, вул. Даля, буд. 11А",20914191,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №1-СІЧ від 03.07.2019, без ПДВ.",25200,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,98,"ТОВ ""ТРК ""Ніс-ТВ""","м. Миколаїв, вул. Чкалова, буд. 30А",20874043,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №128 від 03.07.2019, в т.ч. ПДВ-4536,00 грн.",27216,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,119,"ПП ""Телерадіокомпанія ""ВТВ плюс""","м. Херсон, вул. Богородицька, буд. 10/5, кв. 4",24959285,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №106 від 03.07.2019, в т.ч. ПДВ-4620,00 грн.",27720,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,104,"ТОВ ""ТРК ""ІРТ-Полтава""","м. Полтава, вул. Конституції, буд. 4",35026331,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №ІР-2866/1 від 02.07.2019, в т.ч. ПДВ-4900,00 грн.",29400,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,111,"ТОВ ""Телерадіокомпанія ""Моя Одеса""","м. Одеса, вул. Канатна, буд. 10",31068509,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №76 від 05.07.2019, в т.ч. ПДВ-5000,00 грн.",30000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,141,"ТОВ ""ТРК ""Херсон плюс""","м. Херсон, вул. Торгова, буд. 37",36944934,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №000206-к від 04.07.2019, без ПДВ.",30000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,125,"ТОВ ""ЗНТРК ""ТВ-5""","м. Запоріжжя, вул. О. Пивоварова, буд. 4А",13630346,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №0248 від 03.07.2019, в т.ч. ПДВ-5003,33 грн.",30020,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,96,"ПП ""Телерадіокомпанія ""Сфера-ТВ""","м. Рівне, вул. Міцкевича, буд. 11, оф. 30",33910609,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №11/п/1 від 05.07.2019, без ПДВ.",30240,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,100,"ТОВ ""ТРК ""ТВ-7""","м. Маріуполь, Приморський бульв., буд. 25",25106350,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №175 від 05.07.2019, в т.ч. ПДВ-5160,00 грн.",30960,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,143,"ТОВ ""ТРК ""Алекс ТВ""","м. Запоріжжя, просп. Моторобудівників, буд. 48",23286602,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №СФ-0000203 від 01.07.2019, в т.ч. ПДВ-5265,00 грн.",31590,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,147,"ТОВ ""ТРО ""Ліга""","м. Чернігів, просп. Миру, буд. 32",24834454,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №СФ-0000172 від 01.07.2019, в т.ч. ПДВ-5380,00 грн.",32280,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,151,"КП ""ТРА ""Новий Чернігів"" Чернігівської міської ради","м. Чернігів, просп. Миру, буд. 38А",21397527,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №112 від 02.07.2019, в т.ч. ПДВ-5600,00 грн.",33600,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,108,"ТОВ ""ТРК ""Сигма""","Донецька обл., м. Маріуполь, вул. Харлампіївська, буд. 17/25",13482897,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №139 від 05.07.2019, в т.ч. ПДВ-5740,00 грн.",34440,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1212,2019-07-05,44,"ПАТ ""НСТУ""","м. Київ, вул. Мельникова, буд. 42",23152907,"+;1212;оплата ефірного часу на радіо, зг-но дог. №99-32/3 від 01.07.2019, в т.ч. ПДВ-5931,40 грн.","35588,4",юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1211,2019-07-05,134,"ТОВ ""Івано-Франківська телерадіокомпанія ""Канал-402""","м. Івано-Франківськ, вул. Чорновола, буд. 99",13642036,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №058 від 01.07.2019, в т.ч. ПДВ-6000,00 грн.",36000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,122,"ПП ""НТА-Незалежне телевізійне агентство""","м. Львів, вул. Винниченка, буд. 6",30053161,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №89 від 05.07.2019, в т.ч. ПДВ-6840,00 грн.",41040,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,127,"ТОВ ""ТРК ""Вікка""","м. Черкаси, вул. Юрія Іллєнка, буд. 27",21385292,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №СФ-000723 від 05.07.2019, в т.ч. ПДВ-7500,00 грн.",45000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,92,"ТОВ ""ТРК ""TTV""","м. Кропивницький, вул. Медведєва, буд. 1А",13745760,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №64 від 04.07.2019, в т.ч. ПДВ-7500,00 грн.",45000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,107,"ТОВ ""Інформаційний телеканал ""Репортер""","м. Одеса, вул. Зоопаркова, буд. 25",22448563,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №117 від 03.07.2019, в т.ч. ПДВ-7560,00 грн.",45360,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,94,"ТОВ ""Телерадіокомпанія ""Рівне-1""","м. Рівне, вул. Данила Галицького, буд. 19, оф. 701",22573340,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №СФ-0000039 від 05.07.2019, в т.ч. ПДВ-7700,00 грн.",46200,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1212,2019-07-05,69,"ТОВ ""Телерадіоорганізація ""Русское радио-Україна""","м. Київ, вул. Сімʼї Хохлових, буд. 15, кімн. 3",31407092,"+;1212;оплата ефірного часу на радіо, зг-но рах. №СФ-0000433 від 01.07.2019, в т.ч. ПДВ-7770,00 грн.",46620,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1211,2019-07-05,86,"ТОВ ""TV-4""","м. Тернопіль, вул. Сагайдачного, буд. 2/7",14029496,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №ТВ-0000227 від 05.07.2019, в т.ч. ПДВ-7920,00 грн.",47520,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,129,"ПМП ""ТРК ""Даніо""","м. Ужгород, вул. Крилова, буд. 10",20430464,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №41 від 04.07.2019. в т.ч. ПДВ-8100,00 грн.",48600,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1212,2019-07-05,57,"ТОВ ""ТРК ""Медіа маркет""","м. Київ, вул. Павлівська, буд. 29, кімн. 23А",31306998,"+;1212;оплата ефірного часу на радіо, зг-но рах. №СФ-0000389 від 02.07.2019, в т.ч. ПДВ-8400,00 грн.",50400,юридична особа,оплата ефірного часу на радіо
Сила і Честь,211,1211,2019-07-05,87,"ТОВ ""ТРК ""3-Студія""","м. Івано-Франківськ, вул. Січових Стрільців, буд. 56",23797886,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №СФ-0000054 від 01.07.2019, в т.ч. ПДВ-9380,00 грн.",56280,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,123,"ТОВ ""ЗНТРК ""ТВ-5""","м. Запоріжжя, вул. О. Пивоварова, буд. 4А",13630346,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №0242 від 01.07.2019, в т.ч. ПДВ-9975,00 грн.",59850,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,150,"ТОВ ""ТРК ""Круг""","Одеська обл., Овідіопольський р-н, смт Овідіополь, вул. Дзержинського, буд. 1",25049898,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №68 від 02.07.2019, в т.ч. ПДВ-10000,00 грн.",60000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,91,"ТОВ ""Коледж преси та телебачення""","м. Миколаїв, вул. Даля, буд. 11А",20914191,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №2-СІЧ від 04.07.2019, без ПДВ.",60000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,145,"ТОВ ""Медіагруп Алекс.ЮА""","м. Запоріжжя, просп. Моторобудівників, буд. 48",24451003,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №СФ-0000130 від 01.07.2019, в т.ч. ПДВ-10530,00 грн.",63180,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,113,"ТОВ ""Слово Волині""","м. Луцьк, вул. Єршова, буд. 2",38131299,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №153 від 05.07.2019, в т.ч. ПДВ-10686,00 грн.",64116,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,99,"ТОВ ""ТРК ""Ніс-ТВ""","м. Миколаїв, вул. Чкалова, буд. 30А",20874043,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №131 від 05.07.2019, в т.ч. ПДВ-10800,00 грн.",64800,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,115,"ТОВ ""ТРК ""Сімон""","м. Харків, пл. Свободи, буд. 7",21217525,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №236 від 03.07.2019, в т.ч. ПДВ-11325,00 грн.",67950,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,120,"ДП ""Телерадіокомпанія ""Аверс""","м. Луцьк, вул. Електроапаратна, буд. 3",21755180,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №СФ-0000121 від 05.07.2019, в т.ч. ПДВ-11466,00 грн.",68796,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,106,"ТОВ ""ТРК ""ІРТ-Полтава""","м. Полтава, вул. Конституції, буд. 4",35026331,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №ІР-2866/3 від 02.07.2019, в т.ч. ПДВ-12000,00 грн",72000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,95,"ТОВ ""Телерадіокомпанія ""Рівне-1""","м. Рівне, вул. Данила Галицького, буд. 19, оф. 701",22573340,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №СФ-0000040 від 05.07.2019, в т.ч. ПДВ-12000,00 грн.",72000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,97,"ПП ""Телерадіокомпанія ""Сфера-ТВ""","м. Рівне, вул. Міцкевича, буд. 11, оф. 30",33910609,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №11/п/2 від 05.07.2019, без ПДВ.",72000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,135,"ТОВ ""Телерадіокомпанія ""Моя Одеса""","м. Одеса, вул. Канатна, буд. 10",31068509,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №72 від 02.07.2019, в т.ч. ПДВ-12600,00 грн.",75600,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,152,"КП ""ТРА ""Новий Чернігів"" Чернігівської міської ради","м. Чернігів, просп. Миру, буд. 38А",21397527,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №116 від 03.07.2019, в т.ч. ПДВ-14000,00 грн.",84000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,88,"ТОВ ""Чернівецький промінь""","м. Чернівці, вул. Університетська, буд. 20",37722525,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №12/07-2019 від 05.07.2019, без ПДВ.",103800,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,112,"ТОВ ""Слово Волині""","м. Луцьк, вул. Єршова, буд. 2",38131299,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №152 від 05.07.2019, в т.ч. ПДВ-18000,00 грн.",108000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,121,"ПП ""НТА-Незалежне телевізійне агентство""","м. Львів, вул. Винниченка, буд. 6",30053161,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №90 від 05.07.2019, в т.ч. ПДВ-18000,00 грн.",108000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,140,"КП ""Телерадіокомпанія ""Перший Західний""","м. Львів, вул. Підвальна, буд. 3",31074340,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №164 від 05.07.2019, в т.ч. ПДВ-18000,00 грн.",108000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-05,114,"ТОВ ""ТРК ""Сімон""","м. Харків, пл. Свободи, буд. 7",21217525,"+;1211;оплата ефірного часу на телебаченні, з-но рах. №244 від 05.07.2019, в т.ч. ПДВ-24166,67 грн.",145000,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1340,2019-07-08,173,"КЗ ""Палац культури міста Луцька""","м. Луцьк, вул. Богдана Хмельницького, буд. 1",20120901,"+;1340;оренда приміщ. усіх форм власн., для пров. зборів громад, інш. публ.зах. передвиб. агітації зг-но рах.№167 від 03.07.2019, в т.ч. ПДВ -83,33грн.",500,юридична особа,оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями
Сила і Честь,211,1340,2019-07-08,176,"ТОВ ""Поділля-Т""","м. Вінниця, вул. Пушкіна, буд. 4",42201885,"+;1340;оренда приміщ. усіх форм власн. для провед. зборів громад., інших публічн. зах. передвиб. агітації зг-но рах.№СФ-0271 від 26.06.2019, в т.ч. ПДВ-500,00гр",1700,юридична особа,оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями
Сила і Честь,211,1120,2019-07-08,155,"ТОВ ""ТРК ""Алекс ТВ""","м. Запоріжжя, просп. Моторобудівників, буд. 48",23286602,"+;1120; виготовлення відео записів, з-но рах. від 01.07.2019 №СФ-0000205, в т.ч. ПДВ-500,00 грн.",3000,юридична особа,виготовлення відеозаписів
Сила і Честь,211,1211,2019-07-08,174,"ПП ""Телерадіокомпанія ""Сфера-ТВ""","м. Рівне, вул. Міцкевича, буд. 11, оф. 30",33910609,"+;1211;оплата ефірного часу на телебаченні зг-но рах.№ 7/п/3,від 05.07.2019, без ПДВ",3500,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1340,2019-07-08,175,Вінницька філармонія ім. М.Д. Леонтовича,"м. Вінниця, вул. Хмельницьке шосе, буд. 7",02224778,"+;1340;оренда приміщ. усіх форм власн. для провед.зборів громад., інших публічн.заходів передвиб. агітацїї, зг-но рах.№31, від 26.06.2019, в т.ч.ПДВ-1000,00грн.",6000,юридична особа,оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями
Сила і Честь,211,1220,2019-07-08,156,"ТОВ ""Юридична фірма ""Правник""","м. Дніпро, вул. Столярова, буд. 1",33669201,"+;1220;публікування агітац. матеріалів у друк. засобах масової інформації зг- но рах. №2672 від 03.07.2019, в.т.ч. ПДВ1077,08грн.","6462,5",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Сила і Честь,211,1220,2019-07-08,179,"ТОВ ""Редакція КМГ ""Червоний гірник""","м. Кривий Ріг, просп. Металургів, буд. 28",02471933,"+;1220;опублікування агітаційних матеріалів у друкованих засобах масової інформації, зг- но рах. №222 від 08.07.2019, в т.ч. ПДВ-1185,60 грн.","7113,6",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
Сила і Честь,211,1211,2019-07-08,163,"ТОВ ""ТРК ""Союз-ТВ""","м. Житомир, просп. Миру, буд. 11, кв. 158",25304801,"+;1211;оплата ефірного часу на телебаченні зг-но. рах.№5/2 від 05.07.2019, в т.ч. ПДВ-1400,00грн.",8400,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1211,2019-07-08,162,"ТОВ ""ТРК ""Союз-ТВ""","м. Житомир, просп. Миру, буд. 11, кв. 158",25304801,"+;1211;оплата ефірного часу на телебаченні, зг-но рах. №5/3 від 05.07.2019, в т.ч. ПДВ-1519,00грн.",9114,юридична особа,оплата ефірного часу на телебаченні
Сила і Честь,211,1220,2019-07-08,193,"ПП ""Полтавський вісник""","м. Полтава, вул. Європейська, буд. 8",21045231,"+;1220;опублікування агітаційних матеріалів у друкованих засобах масової інформації, зг- но рах. №СФ-0000245 від 08.07.2019, в т.ч. ПДВ-1525,70 грн.","9154,2",юридична особа,оплата друкованих площ у друкованих засобах масової інформації
